ngram,tf_query_peak,tf_peak,tf_corpus,field,P_w,P_w_Given_query_peak,P_w_Given_time,PMI_corpus,PMI_peak,PMI_peak_times_tf_query_peak,PMI_corpus_times_tf_query_peak,LOG_Likelyhood_corpus,LOG_Likelyhood_peak
cebuco,2,37,11376,title,3.1794813016692246E-7,3.2056419297964416E-4,1.520537111899289E-7,9.977606145660772,11.04181654131937,11.04181654131937,9.977606145660772,34.1455078125,38.24706840515137
tijden,2,9469,1879887,title,5.254101235716467E-5,3.2056419297964416E-4,3.891342138533613E-5,2.6090973818399217,3.042273548357951,3.042273548357951,2.6090973818399217,5.61181640625,7.099077224731445
juist,2,34447,7549465,title,2.110002004668271E-4,3.2056419297964416E-4,1.415620051178238E-4,0.6033689158487441,1.1791791837605778,1.1791791837605778,0.6033689158487441,0.4404296875,1.49456787109375
geadverteerd,2,195,142589,title,3.985223798555846E-6,3.2056419297964416E-4,8.013641535685442E-7,6.329808731190358,8.643939593198713,8.643939593198713,6.329808731190358,19.6201171875,28.790977478027344
peter,2,23771,1666765,title,4.6584459843325466E-5,3.2056419297964416E-4,9.768834509988648E-5,2.7826926152933087,1.714354931451517,1.714354931451517,2.7826926152933087,6.19873046875,2.8455543518066406
tuin,2,96269,5452711,title,1.523979664900325E-4,3.2056419297964416E-4,3.9562320871738555E-4,1.0727696329810836,-0.30351377693874326,-0.30351377693874326,1.0727696329810836,1.263671875,0.1372051239013672
douglas,2,1427,250241,title,6.993992443837978E-6,3.2056419297964416E-4,5.864341780216988E-6,5.518353237851464,5.77250028747256,5.77250028747256,5.518353237851464,16.4287109375,17.421791076660156
ver,2,74011,13783821,title,3.8524438409858993E-4,3.2056419297964416E-4,3.041526275372386E-4,-0.2651606405452469,0.07581781792666575,0.07581781792666575,-0.2651606405452469,0.10302734375,0.00783538818359375
luchtvaart,2,2413,405842,title,1.1342888980591081E-5,3.2056419297964416E-4,9.9163677054405E-6,4.820753245605239,5.014657706732571,5.014657706732571,4.820753245605239,13.716796875,14.464990615844727
erich,2,399,91192,title,2.5487276622874466E-6,3.2056419297964416E-4,1.6397143449940983E-6,6.97469224908815,7.611024970725975,7.611024970725975,6.97469224908815,22.1748046875,24.689462661743164
blaauw,2,1571,254303,title,7.107521391160239E-6,3.2056419297964416E-4,6.4561183859291435E-6,5.495122939312434,5.633802441654126,5.633802441654126,5.495122939312434,16.33837890625,16.878019332885742
vraagstukken,2,2069,628621,title,1.7569345247333066E-5,3.2056419297964416E-4,8.50267914735035E-6,4.189480952572762,5.236551977088311,5.236551977088311,4.189480952572762,11.30419921875,15.326728820800781
sprak,2,14377,3579164,title,1.0003415096349883E-4,3.2056419297964416E-4,5.908314069669211E-5,1.680120675309853,2.4397948625155923,2.4397948625155923,1.680120675309853,2.75146484375,5.052358627319336
inkomenspolitiek,2,191,4378,title,1.2236083982689754E-7,3.2056419297964416E-4,7.849259145209843E-7,11.355255656099242,8.673841078912574,8.673841078912574,11.355255656099242,39.65185546875,28.90967559814453
verkopen,2,22317,1306679,title,3.652040653818425E-5,3.2056419297964416E-4,9.171304520609848E-5,3.1338385551263315,1.8054144238883438,1.8054144238883438,3.1338385551263315,7.42236328125,3.10223388671875
elseviers,2,765,27244,title,7.614432892288709E-7,3.2056419297964416E-4,3.1438132178458275E-6,8.717660978441472,6.671953969368307,6.671953969368307,8.717660978441472,29.11376953125,20.967147827148438
trager,2,231,61463,title,1.7178310411787582E-6,3.2056419297964416E-4,9.493083049965832E-7,7.543881329348277,8.399520865532264,8.399520865532264,7.543881329348277,24.43603515625,27.8205509185791
boetes,2,683,50497,title,1.4113420120463328E-6,3.2056419297964416E-4,2.80682931737085E-6,7.827401835067985,6.83552813865823,6.83552813865823,7.827401835067985,25.56494140625,21.614477157592773
witteveen,2,1137,176274,title,4.926686770133974E-6,3.2056419297964416E-4,4.672569449268896E-6,6.023851724615518,6.100253368056077,6.100253368056077,6.023851724615518,18.4140625,18.710323333740234
winstpunt,2,495,36516,title,1.0205866667699842E-6,3.2056419297964416E-4,2.0342320821355355E-6,8.295070776044437,7.299985191981353,7.299985191981353,8.295070776044437,27.4287109375,23.455202102661133
vnu,2,1401,186725,title,5.2187820504059946E-6,3.2056419297964416E-4,5.757493226407848E-6,5.940756322623432,5.799028666517504,5.799028666517504,5.940756322623432,18.0869140625,17.525903701782227
winstgroei,2,139,4246,title,1.1867156827432777E-7,3.2056419297964416E-4,5.712288069027059E-7,11.399423239374809,9.132328834224815,9.132328834224815,11.399423239374809,39.82861328125,30.728572845458984
moed,2,4525,1273241,title,3.558584697625373E-5,3.2056419297964416E-4,1.8595757922552116E-5,3.171237806483191,4.107567830090391,4.107567830090391,3.171237806483191,7.55517578125,10.993942260742188
verval,2,995,416997,title,1.165466037581014E-5,3.2056419297964416E-4,4.08901196308052E-6,4.781634416311785,6.292717191517312,6.292717191517312,4.781634416311785,13.56640625,19.46895408630371
thesaurier,2,13,50994,title,1.4252326784222964E-6,3.2056419297964416E-4,5.342427690456962E-8,7.813272007459776,12.550830188807229,12.550830188807229,7.813272007459776,25.5087890625,44.01183319091797
ongegrond,2,609,256980,title,7.18234093620743E-6,3.2056419297964416E-4,2.502721894990992E-6,5.480015337780628,7.000971489041991,7.000971489041991,5.480015337780628,16.27880859375,22.269756317138672
mits,2,4541,1381361,title,3.860769576613134E-5,3.2056419297964416E-4,1.8661510878742356E-5,3.0536529282643734,4.1024755855239885,4.1024755855239885,3.0536529282643734,7.13916015625,10.974760055541992
roet,2,1631,474471,title,1.3261002748631317E-5,3.2056419297964416E-4,6.702691971642541E-6,4.595351509434185,5.579728840236438,5.579728840236438,4.595351509434185,12.85009765625,16.666296005249023
gooit,2,785,99583,title,2.783247947117848E-6,3.2056419297964416E-4,3.2260044130836266E-6,6.847700037583966,6.634721063169334,6.634721063169334,6.847700037583966,21.67041015625,20.81989097595215
levensonderhoud,2,1505,223060,title,6.234309943304651E-6,3.2056419297964416E-4,6.184887441644405E-6,5.684239593839187,5.695722135301256,5.695722135301256,5.684239593839187,17.0791015625,17.12065315246582
black,2,5137,374537,title,1.0467944693066863E-5,3.2056419297964416E-4,2.1110808496828778E-5,4.936563173241403,3.924559548601364,3.924559548601364,4.936563173241403,14.16455078125,10.307327270507812
volendam,2,3519,311141,title,8.696088182864488E-6,3.2056419297964416E-4,1.4461540802090805E-5,5.20410290511192,4.47032010819866,4.47032010819866,5.20410290511192,15.203125,12.370185852050781
opgelegd,2,3037,628383,title,1.7562693378927675E-5,3.2056419297964416E-4,1.248073299685984E-5,4.1900272697266185,4.682838713780864,4.682838713780864,4.1900272697266185,11.30615234375,13.184354782104492
cruisevaart,2,33,584,title,1.6322231717429915E-8,3.2056419297964416E-4,1.35615472142369E-7,14.261487336400172,11.206875787589869,11.206875787589869,14.261487336400172,51.26708984375,38.888797760009766
grens,2,12659,2009907,title,5.61749448364459E-5,3.2056419297964416E-4,5.2022917025765136E-5,2.512614577657704,2.6233940840877814,2.6233940840877814,2.512614577657704,5.29150390625,5.659639358520508
risico,2,9819,950878,title,2.657611481336699E-5,3.2056419297964416E-4,4.035176730199762E-5,3.5924111692272405,2.9899095191824028,2.9899095191824028,3.5924111692272405,9.07763671875,6.91552734375
