ngram,tf_query_peak,tf_peak,tf_corpus,field,P_w,P_w_Given_query_peak,P_w_Given_time,PMI_corpus,PMI_peak,PMI_peak_times_tf_query_peak,PMI_corpus_times_tf_query_peak,LOG_Likelyhood_corpus,LOG_Likelyhood_peak
nieuwe,13,248247,30722021,title,8.586505917632669E-4,0.0015589399208538195,9.814660440431776E-4,0.8604222457469,0.6675550693713692,2.4702472927482466,3.183940652533984,5.5263671875,3.465557098388672
veel,13,249175,27274905,title,7.623070539056297E-4,0.0015589399208538195,9.851349725251816E-4,1.0321211987886425,0.662172024185514,2.45032765853796,3.8193022779328905,7.6748046875,3.4138317108154297
bloemen,2,11119,1899177,title,5.30801490863243E-5,2.398369109005876E-4,4.3959930809702E-5,2.175809378678977,2.4477926859199606,2.4477926859199606,2.175809378678977,4.2099609375,5.078235626220703
luxe,9,160265,4743265,title,1.325696411424233E-4,0.0010792660990526443,6.336215766900702E-4,3.02522827639787,0.7683572437580324,2.435634837027892,9.589746748423844,31.68603515625,3.109922409057617
ruimte,3,31527,2056492,title,5.7476950255206984E-5,3.597553663508814E-4,1.2464472871998156E-4,2.6459607882343814,1.529194335411015,2.4237156779416686,4.193748627730087,8.603515625,3.518594741821289
circa,2,11661,2017735,title,5.639372981912405E-5,2.398369109005876E-4,4.610277481535524E-5,2.088447037126823,2.3791282158738802,2.3791282158738802,2.088447037126823,3.93994140625,4.855152130126953
zich,18,367693,84627963,title,0.0023652692155138448,0.0021585321981052886,0.0014537061641525096,-0.1319537876478556,0.5703149246185824,2.3781704628627143,-0.5502373981478028,0.224609375,3.5781822204589844
sint,2,11701,1199935,title,3.353701560933949E-5,2.398369109005876E-4,4.626091828440715E-5,2.8382274893701833,2.3741878975768955,2.3741878975768955,2.8382274893701833,6.3896484375,4.839197158813477
model,3,32351,2226845,title,6.223815083698667E-5,3.597553663508814E-4,1.279024841824507E-4,2.531145105289143,1.4919719221310288,2.3647195487065455,4.011770075767195,8.029296875,3.3736343383789062
reactie,2,11781,867606,title,2.424874344423373E-5,2.398369109005876E-4,4.6577205222510946E-5,3.3060718118736148,2.3643577255466806,2.3643577255466806,3.3060718118736148,8.03759765625,4.807489395141602
zuid,3,32409,2770178,title,7.742377947692905E-5,3.597553663508814E-4,1.2813179221257595E-4,2.216167567052157,1.489387724022798,2.360623691610565,3.512542489092107,6.50439453125,3.363645553588867
leo,2,11863,822013,title,2.2974463460170747E-5,2.398369109005876E-4,4.690139933406734E-5,3.3839506319219606,2.3543508343560102,2.3543508343560102,3.3839506319219606,8.318359375,4.775260925292969
landelijke,2,11953,677499,title,1.8935437784806593E-5,2.398369109005876E-4,4.725722213943412E-5,3.6628930249676657,2.3434469737779846,2.3434469737779846,3.6628930249676657,9.33642578125,4.740213394165039
vrijheid,2,12047,2823436,title,7.891228875228331E-5,2.398369109005876E-4,4.762885929170608E-5,1.6037318175857216,2.3321458048364274,2.3321458048364274,1.6037318175857216,2.54296875,4.703950881958008
deel,5,76027,11032165,title,3.08338276498151E-4,5.99592277251469E-4,3.0057933804022064E-4,0.9594678076486431,0.996235960340913,2.313188265452658,2.2278152587193683,2.5869140625,2.768686294555664
studie,2,12259,1492617,title,4.1717192704409396E-5,2.398369109005876E-4,4.846701967768115E-5,2.523339724357003,2.306978430118045,2.306978430118045,2.523339724357003,5.3271484375,4.623451232910156
zelf,6,98345,11854291,title,3.3131589819836296E-4,7.195107327017628E-4,3.8881548659772846E-4,1.118808774503922,0.8879305244101996,2.295267108846037,2.89207872757043,4.08642578125,2.699422836303711
van,267,6654507,1099335141,title,0.030725347442663507,0.03201822760522845,0.026309170545253852,0.0594641238126723,0.28332768344759707,2.283818305300505,0.4793222208981726,0.666015625,14.332826614379883
correspondent,2,12481,2467759,title,6.897146270680331E-5,2.398369109005876E-4,4.9344715930919204E-5,1.7979822385514286,2.281086199251634,2.281086199251634,1.7979822385514286,3.0810546875,4.541006088256836
woning,5,76763,5622459,title,1.5714225791052958E-4,5.99592277251469E-4,3.034891778707756E-4,1.9319106063482483,0.9823367291986287,2.2809152501660543,4.485757513690877,8.67529296875,2.699687957763672
dertig,2,12589,1371089,title,3.832060336167682E-5,2.398369109005876E-4,4.977170329735933E-5,2.6458615248647774,2.268656041430255,2.268656041430255,2.6458615248647774,5.73486328125,4.501560211181641
wacht,2,12871,1763881,title,4.929875754104794E-5,2.398369109005876E-4,5.0886614754175226E-5,2.2824305141590138,2.2366955826641632,2.2366955826641632,2.2824305141590138,4.5458984375,4.400547027587891
jongeman,2,12911,977960,title,2.733303036023589E-5,2.398369109005876E-4,5.104475822322713E-5,3.133336383954761,2.2322189828706893,2.2322189828706893,3.133336383954761,7.4208984375,4.386444091796875
last,2,13095,2737219,title,7.650260749889005E-5,2.398369109005876E-4,5.177221818086587E-5,1.6484728803336637,2.211803669696277,2.211803669696277,1.6484728803336637,2.6640625,4.322294235229492
onderhandelingen,2,13639,1947829,title,5.44399251437154E-5,2.398369109005876E-4,5.392296935997172E-5,2.1393167183924913,2.153081858331218,2.153081858331218,2.1393167183924913,4.0966796875,4.139162063598633
elf,2,13771,2308289,title,6.451443138492222E-5,2.398369109005876E-4,5.444484280784299E-5,1.8943598850095196,2.1391864028343495,2.1391864028343495,1.8943598850095196,3.359375,4.096141815185547
liever,2,13937,1978121,title,5.5286557066976334E-5,2.398369109005876E-4,5.510113820440837E-5,2.117053069866067,2.121899681156128,2.121899681156128,2.117053069866067,4.02783203125,4.042787551879883
manier,3,36287,2437405,title,6.812309794387374E-5,3.597553663508814E-4,1.4346380153715767E-4,2.4008002581751438,1.3263294420687508,2.1021824292813833,3.8051783809292736,7.38916015625,2.754159927368164
appartementen,2,14189,317225,title,8.866130062605659E-6,2.398369109005876E-4,5.6097442059435344E-5,4.7576053699591725,2.09604681340973,2.09604681340973,4.7576053699591725,13.4736328125,3.963348388671875
dagelijks,3,36569,3935063,title,1.0998118169295361E-4,3.597553663508814E-4,1.445787129939736E-4,1.7097595144934434,1.3151610541995975,2.0844809533152664,2.7099047157233183,4.24951171875,2.7139720916748047
iets,5,81589,13047989,title,3.6467859572684357E-4,5.99592277251469E-4,3.225691874118874E-4,0.7173562761953285,0.894373166134093,2.0766701817601128,1.6656496917417114,1.521484375,2.2790298461914062
vijf,4,60141,6664331,title,1.8626156647885515E-4,4.796738218011752E-4,2.3777265930625843E-4,1.3647236897100115,1.0124708727291623,2.0249417454583245,2.729447379420023,3.85888671875,2.2799243927001953
vast,3,37655,7849345,title,2.193815546576197E-4,3.597553663508814E-4,1.4887230817873268E-4,0.7135739765844473,1.2729407849626693,2.0175634098043838,1.1309879943768255,0.904296875,2.563943862915039
liep,2,15013,2650193,title,7.407031548272386E-5,2.398369109005876E-4,5.935519752190449E-5,1.695086319504206,2.014607434460819,2.014607434460819,1.695086319504206,2.79248046875,3.7159862518310547
school,3,37739,7294919,title,2.038858874621269E-4,3.597553663508814E-4,1.4920440946374167E-4,0.8192542887309493,1.2697260348876362,2.012468151486266,1.2984873261935377,1.16455078125,2.5526485443115234
bijeenkomst,2,15071,2033318,title,5.682925950551568E-5,2.398369109005876E-4,5.958450555202975E-5,2.0773478845323723,2.0090445827093966,2.0090445827093966,2.0773478845323723,3.90625,3.699251174926758
mei,6,106391,24931339,title,6.968066646982832E-4,7.195107327017628E-4,4.206260453975182E-4,0.04625778447933726,0.7744780220161793,2.0019966445445174,0.11957463824552793,0.0087890625,2.103179931640625
gevaar,2,15327,3511259,title,9.813627229094391E-5,2.398369109005876E-4,6.059662375396191E-5,1.2891953298579963,1.9847443878133806,1.9847443878133806,1.2891953298579963,1.74755859375,3.62640380859375
gevolgen,2,15453,2562933,title,7.163148339425993E-5,2.398369109005876E-4,6.10947756814754E-5,1.7433879828078975,1.972932783489787,1.972932783489787,1.7433879828078975,2.92626953125,3.591146469116211
groepen,2,15529,1655373,title,4.626606452872793E-5,2.398369109005876E-4,6.1395248272674E-5,2.3740274155003647,1.9658547999487865,1.9658547999487865,2.3740274155003647,4.83935546875,3.5700626373291016
kunst,2,15559,2751136,title,7.689157410644395E-5,2.398369109005876E-4,6.151385587446293E-5,1.6411562873225947,1.963070390230472,1.963070390230472,1.6411562873225947,2.6435546875,3.561779022216797
boys,2,15673,1236103,title,3.4547876014743614E-5,2.398369109005876E-4,6.196456476126085E-5,2.7953847842861173,1.9525383740240336,1.9525383740240336,2.7953847842861173,6.2421875,3.530496597290039
gas,5,84775,2429593,title,6.790476014562619E-5,5.99592277251469E-4,3.3516531472187124E-4,3.142397184977261,0.839108945021442,1.948350634116581,7.296420309093661,18.6337890625,2.029397964477539
houdt,3,38931,4431449,title,1.2385468736639225E-4,3.597553663508814E-4,1.539170848414883E-4,1.5383677379169711,1.2248628272005586,1.9413616496401829,2.438255176917631,3.5546875,2.3968467712402344
kantoor,3,39139,4126383,title,1.1532838952202671E-4,3.597553663508814E-4,1.5473943088055819E-4,1.641268513234758,1.2171753344751828,1.9291772619458956,2.6013490470914564,3.966796875,2.3705062866210938
kerkrade,3,39295,1573067,title,4.3965691919593015E-5,3.597553663508814E-4,1.553561904098606E-4,3.032566128561717,1.2114364782865845,1.9200813900899358,4.806503594727454,10.5986328125,2.350910186767578
amstelveen,2,16105,522196,title,1.4594870058073684E-5,2.398369109005876E-4,6.367251422702137E-5,4.038520435285349,1.9133110686640578,1.9133110686640578,4.038520435285349,10.7353515625,3.414682388305664
dijk,2,16203,2314577,title,6.469017486615374E-5,2.398369109005876E-4,6.405996572619853E-5,1.8904351889392874,1.904558775261087,1.904558775261087,1.8904351889392874,3.34716796875,3.3889999389648438
aparte,2,16291,835181,title,2.3342496246566495E-5,2.398369109005876E-4,6.440788135811271E-5,3.361022950389236,1.8967445650080883,1.8967445650080883,3.361022950389236,8.2353515625,3.3661155700683594
vroeger,2,16295,5221597,title,1.459385550839673E-4,2.398369109005876E-4,6.44236957050179E-5,0.7166926315727391,1.8963903773083075,1.8963903773083075,0.7166926315727391,0.607421875,3.365079879760742
blijkt,3,39949,5040607,title,1.4088006070290968E-4,3.597553663508814E-4,1.5794183612885917E-4,1.3525487714115592,1.187622839921337,1.882337666275284,2.1437390830837924,2.8486328125,2.270235061645508
betaald,2,16605,2773769,title,7.75241444325751E-5,2.398369109005876E-4,6.564930759017013E-5,1.6293361023541202,1.869202006544164,1.869202006544164,1.6293361023541202,2.61279296875,3.2858142852783203
paar,3,40433,6684781,title,1.8683312407923435E-4,3.597553663508814E-4,1.5985537210438716E-4,0.9452659508428223,1.1702489791415562,1.8548007484465812,1.4982110852944013,1.5107421875,2.212026596069336
gouden,2,16803,3160665,title,8.833751114926477E-5,2.398369109005876E-4,6.643211776197703E-5,1.4409556155177228,1.8521008952657194,1.8521008952657194,1.4409556155177228,2.11865234375,3.2362442016601562
drie,7,134705,18018387,title,5.035963831991898E-4,8.394291881520566E-4,5.325678999659059E-4,0.7371407069238032,0.6564431545942515,1.8428689211011928,2.069415591831561,2.24072265625,1.8077926635742188
maanden,4,64271,9631871,title,2.692014218054681E-4,4.796738218011752E-4,2.5410097248586717E-4,0.8333676769464233,0.9166518097748817,1.8333036195497634,1.6667353538928467,1.6025390625,1.9061775207519531
werken,4,64337,9805941,title,2.7406650892028493E-4,4.796738218011752E-4,2.543619092098028E-4,0.8075276658071147,0.9151710639261381,1.8303421278522762,1.6150553316142293,1.51318359375,1.9006080627441406
slecht,2,17277,2451871,title,6.852740856720309E-5,2.398369109005876E-4,6.830611787024206E-5,1.8073006704248495,1.811967001516967,1.811967001516967,1.8073006704248495,3.10791015625,3.1208019256591797
gemeenten,2,17423,3120881,title,8.722558706254176E-5,2.398369109005876E-4,6.888334153228148E-5,1.4592303991353717,1.7998266718955946,1.7998266718955946,1.4592303991353717,2.1650390625,3.0861263275146484
beslissing,2,17569,2306695,title,6.446988063602226E-5,2.398369109005876E-4,6.946056519432093E-5,1.8953564891089592,1.7877876516468092,1.7877876516468092,1.8953564891089592,3.36279296875,3.051860809326172
eerder,3,42127,3207187,title,8.96377557793303E-5,3.597553663508814E-4,1.6655274801873513E-4,2.004837773028827,1.1110370495304238,1.7609520604175957,3.1775926902800036,5.52978515625,2.017881393432617
open,9,186149,7472961,title,2.0886198811184378E-4,0.0010792660990526443,7.359562155135549E-4,2.36942875538716,0.5523587699459362,1.750935874617546,7.5109114508381,21.7158203125,1.6833381652832031
aanvang,2,18055,3195337,title,8.930655981040642E-5,2.398369109005876E-4,7.138200834330152E-5,1.425215652368955,1.748421309098232,1.748421309098232,1.425215652368955,2.0791015625,2.9406299591064453
